strain	date	clade_membership	country	division	division_exposure	gisaid_epi_isl	originating_lab	pangolin_lineage	recency	region	region_exposure	subclade_membership	submitting_lab	url	author	accession	location
hCoV-19/Poland/Pomorskie_MWB_142/2021	2021-01-15	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040966	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines	NA	Lukasz Rabalski, Maciej Kosinski, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk	NA	
hCoV-19/Austria/CeMM3087/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934665	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/France/CVL-IPP01477/2021	2021-01-15	20I/501Y.V1	France	Centre	Centre	EPI_ISL_935556	Hopital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	NA	Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf,Goudeau Alain	NA	TOURS
hCoV-19/Poland/Pomorskie_MWB_150/2021	2021-01-15	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040974	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines	NA	Lukasz Rabalski, Maciej Kosinski, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk	NA	
hCoV-19/Poland/Pomorskie_MWB_141/2021	2021-01-15	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040965	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines	NA	Lukasz Rabalski, Maciej Kosinski, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk	NA	
hCoV-19/Switzerland/GEN2623/2021	2021-01-15	20I/501Y.V1	Switzerland	Vaud	Vaud	EPI_ISL_1007585	EHC MORGES	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland	NA	Trestan Pillonel, Damien Jacot, Sébastien Aeby, Gilbert Greub, Claire Bertelli	NA	
hCoV-19/Germany/NI-IOV-MHH_58/2021	2021-01-15	20I/501Y.V1	Germany	Lower Saxony	Lower Saxony	EPI_ISL_1268662	Hannover Medical School, Institute of Virology	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Hannover Medical School, Institute of Virology	NA	Lars Steinbrück	NA	
hCoV-19/Austria/CeMM3101/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934677	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/France/IDF-IPP01405/2021	2021-01-15	20I/501Y.V1	France	Ile de France	Ile de France	EPI_ISL_941078	Labo Analyses Med	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	NA	Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Merah Kader	NA	SAINT-DENIS
hCoV-19/Austria/CeMM3088/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934666	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3091/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934669	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3099/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934675	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3080/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934658	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3100/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934676	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3083/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934661	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3079/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934657	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3082/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934660	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3105/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934681	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3078/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934656	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3103/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934679	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3090/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934668	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3077/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934655	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3092/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934670	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3096/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934672	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3081/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934659	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3098/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934674	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Slovakia/CeMM4360/2021	2021-01-15	20I/501Y.V1	Slovakia	Zvolen	Zvolen	EPI_ISL_1495265	Public Health Authority of the Slovak Republic	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Fabian Amman, Petr Triska, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM3085/2021	2021-01-15	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934663	Department of Laboratory Medicine, Division of Clinical Virology, University of Medicine, Vienna	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/CzechRepublic/NRL-1150/2021	2021-01-15	20I/501Y.V1	Czech Republic	Ostrava	Ostrava	EPI_ISL_1510316	National Institute of Public Health	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	State Veterinary Institute Prague	NA	"Nagy,A;Jirincova,H;Suri,T;Trnka,D;Vecerova,J"	NA	
hCoV-19/Germany/SN-RKI-I-010667/2021	2021-01-16	20A	Germany	Saxony	Saxony	EPI_ISL_1140794	Bioscientia Labor Wermsdorf	B.1.1.7	Older	Europe	Europe	20A	Robert Koch Institute	NA	unknown	NA	
hCoV-19/Germany/SN-RKI-I-010630/2021	2021-01-16	20I/501Y.V1	Germany	Saxony	Saxony	EPI_ISL_1140757	Bioscientia Labor Wermsdorf	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute	NA	unknown	NA	
hCoV-19/Italy/CAM-TIGEM-4814/2021	2021-01-16	20I/501Y.V1	Italy	Campania	Campania	EPI_ISL_1254887	Istituto Zooprofilattico Sperimentale del Mezzogiorno	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Telethon Institute of Genetics and Medicine (TIGEM)	NA	Antonio Grimaldi  Patrizia Annunziata  Francesco Panariello  Biancamaria Pierri Claudia Tiberio Valentina Bouche  Chiara Colantuono  Maria Concetta Cuomo  Denise Di Concilio  Lucio Di Filippo  Anna Manfredi  Marcello Salvi  Antonio Limone Luigi Atripaldi Pellegrino Cerino  Andrea Ballabio  Davide Cacchiarelli	NA	
hCoV-19/Italy/CAM-TIGEM-4841/2021	2021-01-16	20I/501Y.V1	Italy	Campania	Campania	EPI_ISL_1254911	Istituto Zooprofilattico Sperimentale del Mezzogiorno	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Telethon Institute of Genetics and Medicine (TIGEM)	NA	Antonio Grimaldi  Patrizia Annunziata  Francesco Panariello  Biancamaria Pierri Claudia Tiberio Valentina Bouche  Chiara Colantuono  Maria Concetta Cuomo  Denise Di Concilio  Lucio Di Filippo  Anna Manfredi  Marcello Salvi  Antonio Limone Luigi Atripaldi Pellegrino Cerino  Andrea Ballabio  Davide Cacchiarelli	NA	
hCoV-19/Italy/CAM-TIGEM-4848/2021	2021-01-16	20I/501Y.V1	Italy	Campania	Campania	EPI_ISL_1254917	Istituto Zooprofilattico Sperimentale del Mezzogiorno	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Telethon Institute of Genetics and Medicine (TIGEM)	NA	Antonio Grimaldi  Patrizia Annunziata  Francesco Panariello  Biancamaria Pierri Claudia Tiberio Valentina Bouche  Chiara Colantuono  Maria Concetta Cuomo  Denise Di Concilio  Lucio Di Filippo  Anna Manfredi  Marcello Salvi  Antonio Limone Luigi Atripaldi Pellegrino Cerino  Andrea Ballabio  Davide Cacchiarelli	NA	
hCoV-19/Italy/CAM-TIGEM-4831/2021	2021-01-16	20I/501Y.V1	Italy	Campania	Campania	EPI_ISL_1254901	Istituto Zooprofilattico Sperimentale del Mezzogiorno	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Telethon Institute of Genetics and Medicine (TIGEM)	NA	Antonio Grimaldi  Patrizia Annunziata  Francesco Panariello  Biancamaria Pierri Claudia Tiberio Valentina Bouche  Chiara Colantuono  Maria Concetta Cuomo  Denise Di Concilio  Lucio Di Filippo  Anna Manfredi  Marcello Salvi  Antonio Limone Luigi Atripaldi Pellegrino Cerino  Andrea Ballabio  Davide Cacchiarelli	NA	
hCoV-19/England/PORT-1E7B95F/2021	2021-01-16	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1730873	Centre for Enzyme Innovation, University of Portsmouth / Translational Research Laboratory, Portsmouth Hospitals NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Angela Beckett,Salman Goudarzi,Christopher Fearn,Kate Cook,Katie Loveson,Sharon Glaysher,Scott Elliott,Samuel Robson	NA	
hCoV-19/France/HDF-IPP01499/2021	2021-01-16	20I/501Y.V1	France	Picardie	Picardie	EPI_ISL_935570	Hopital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	NA	Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf,Castelain Sandrine	NA	AMIENS
hCoV-19/England/210300679/2021	2021-01-16	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1296550	Respiratory Virus Unit, National Infection Service, Public Health England	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	PHE Covid Sequencing Team	NA	
hCoV-19/France/IDF-IPP01549/2021	2021-01-16	20I/501Y.V1	France	Ile de France	Ile de France	EPI_ISL_935595	Labo Analyses med	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	NA	Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf,Amzalag Jonas	NA	THIAIS
hCoV-19/Germany/SH-ChVir22570/2021	2021-01-16	20I/501Y.V1	Germany	Schleswig-Holstein	Schleswig-Holstein	EPI_ISL_869106	A. Krumbholz, Labor Dr. Krause und Kollegen MVZ GmbH, Kiel	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Charité Universitätsmedizin Berlin, Institut für Virologie	NA	Victor M Corman, Barbara Mühlemann, Jörn Beheim-Schwarzbach, Tobias Bleicker, Julia Tesch, Talitha Veith, Julia Schneider, Terry Jones, Christian Drosten	NA	
hCoV-19/England/210291232/2021	2021-01-16	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1296545	Respiratory Virus Unit, National Infection Service, Public Health England	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	PHE Covid Sequencing Team	NA	
hCoV-19/England/210290849/2021	2021-01-16	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1296539	Respiratory Virus Unit, National Infection Service, Public Health England	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	PHE Covid Sequencing Team	NA	
hCoV-19/Italy/UMB-IZSGC-70799_1_34/2021	2021-01-16	20I/501Y.V1	Italy	Umbria	Umbria	EPI_ISL_1212686	"Istituto Zooprofilattico Sperimentale Umbria e Marche \\""Togo Rosati\\"	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	"\""Istituto Zooprofilattico Sperimentale dell’Abruzzo e Molise “G. Caporale”"""	NA	Biagetti M., Giammarioli M., Lorusso A, Marcacci M, Di Domenico M, Ancora M, Curini V, Mangone I, Rinaldi A, Scialabba S, Di Pasquale A, Cammà C, Puglia I, Calistri P, Savini G	NA	
hCoV-19/Poland/Pomorskie_MWB_135/2021	2021-01-16	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040959	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines	NA	Lukasz Rabalski, Maciej Kosinski, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk	NA	
hCoV-19/Poland/Pomorskie_MWB_113/2021	2021-01-16	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040939	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines	NA	Lukasz Rabalski, Maciej Kosinski, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk	NA	
hCoV-19/Poland/Pomorskie_MWB_139/2021	2021-01-16	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040963	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines	NA	Lukasz Rabalski, Maciej Kosinski, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk	NA	
hCoV-19/Poland/Pomorskie_MWB_267/2021	2021-01-16	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040996	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines	NA	Lukasz Rabalski, Maciej Kosinski, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk	NA	
hCoV-19/Italy/LAZ-AMC-2101161612-DS/2021	2021-01-16	20I/501Y.V1	Italy	Lazio	Lazio	EPI_ISL_1855099	Virology Laboratory, Scientific Department, Army Medical Center	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Virology Laboratory, Scientific Department, Army Medical Center	NA	Silvia Fillo, Riccardo De Sanctis, Antonella Fortunato, Anella Monte, Anna Anselmo, Vanessa Vera Fain, Francesco Giordani,  Giandomenico Cerreto, Filippo Molinari, Giancarlo Petralito, Florigio Lista	NA	
hCoV-19/Poland/Pomorskie_MWB_126/2021	2021-01-16	20I/501Y.V1	Poland	Pomorskie	Pomorskie	EPI_ISL_1040951	Hematology Laboratory, Section of Molecular Diagnostics,  University Clinical Centre, Medical University of Gdansk	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Laboratory of Recombinant Vaccines	NA	Lukasz Rabalski, Maciej Kosinski, Adam Sodol, Aneta Szulc, Krzysztof Lewandowski, Ewa Milosz, Marlena Robakowska, Boguslaw Szewczyk, Krystyna Bienkowska-Szewczyk	NA	
hCoV-19/Germany/HE-RKI-I-015140/2021	2021-01-16	20I/501Y.V1	Germany	Hesse	Hesse	EPI_ISL_1145278	Philipps-Universität Marburg Fachbereich Medizin Institut für Virologie	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Robert Koch Institute	NA	unknown	NA	
hCoV-19/Switzerland/GE-32990272/2021	2021-01-17	20A	Switzerland	Geneva	Geneva	EPI_ISL_897644	University Hospitals of Geneva, Laboratory of Virology	B.1.1.7	Older	Europe	Europe	20A	HUG, Laboratory of Virology and the Health2030 Genome Center	NA	Samuel Cordey, Ana Rita Goncalves, Laurent Kaiser, Lorenzo Cerutti, Henri Pegeot, Melyssa Elies, Deborah Penet, Keith Harshman, Ioannis Xenarios, Emmanouil Dermitzakis	NA	
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-8349/2021	2021-01-17	20I/501Y.V1	Italy	Campania	Campania	EPI_ISL_1633029	Università Federico II - Dipartimento di scienze mediche traslazionali - Napoli	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Telethon Institute of Genetics and Medicine (TIGEM)	NA	Antonio Grimaldi Patrizia Annunziata Francesco Panariello Teresa Giuliano Michele Cennamo Valentina Bouche Chiara Colantuono Lucio Di Filippo Mariano Fiorenza Anna Manfredi Marcello Salvi Giuseppe Portella Andrea Ballabio Davide Cacchiarelli	NA	
hCoV-19/Scotland/OXON-F7F726/2021	2021-01-17	20I/501Y.V1	United Kingdom	Scotland	Scotland	EPI_ISL_1730531	"Oxford Viromics, NDM, University of Oxford; Oxford University Hospitals; Basingstoke and North Hampshire Hospital"	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Tanya Golubchik, David Bonsall, George Macintyre, Amy Trebes, Mariateresa de Cesare, Catrin Moore, Alex Mobbs, Anita Justice, Robert Shaw, Monique Andersson, Timothy Peto, Emma Wise, Nathan Moore, Jessica Lynch, Nick Cortes, Matilde Mori, Stephen Kidd, David Buck, John Todd, Christophe Fraser	NA	
